resume_site,position,salary,resume_url,company_name,place_company
sergievposad.hh.ru,Python developer (Middle+/Senior),от 250 000 до 400 000 руб. на руки,https://sergievposad.hh.ru/vacancy/46417735,ООО Вайт Код,"Петроградская, Санкт-Петербург, улица Льва Толстого, 9"
mytischi.hh.ru,Аналитик данных (data analyst),от 120 000 руб. на руки,https://mytischi.hh.ru/vacancy/41827452,ООО Финансово-правовой альянс,"Сенная площадь, Санкт-Петербург, улица Ефимова, 4А"
